current Cycle: ,0
O,F,F,/,U,N,P,L,U,G,G,E,D
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,2,.,8,8,7,5,3,0
CHG: 4.2,BLEDR2: 2.02,BLEDR1: 2.02,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.59,TLEDR2: 2.14,TLEDR1: 2.11
CHG: 4.2,BLEDR2: 2.12,BLEDR1: 2.12,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.64,TLEDR2: 2.27,TLEDR1: 2.27
CHG: 4.2,BLEDR2: 2.09,BLEDR1: 2.09,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.69,TLEDR2: 2.17,TLEDR1: 2.15
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.18,PG: 0.0,PWM: 1.25,TLEDR2: 2.2,TLEDR1: 2.08
CHG: 4.2,BLEDR2: 2.03,BLEDR1: 2.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.35,TLEDR2: 2.17,TLEDR1: 2.16
CHG: 4.2,BLEDR2: 2.09,BLEDR1: 2.09,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.48,TLEDR2: 2.23,TLEDR1: 2.24
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.97,TLEDR2: 2.1,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.67,TLEDR2: 2.13,TLEDR1: 2.15
CHG: 4.2,BLEDR2: 1.92,BLEDR1: 1.91,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.2,PG: 0.0,PWM: 3.21,TLEDR2: 2.26,TLEDR1: 2.24
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 2.33,TLEDR2: 1.37,TLEDR1: 1.37
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 1.03,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 2.18,TLEDR2: 2.14,TLEDR1: 2.15
CHG: 4.2,BLEDR2: 2.05,BLEDR1: 2.04,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.56,TLEDR2: 2.14,TLEDR1: 2.15
