Time,Sample #,proper VBAT,CHG,,VBAT-original,original conversion factor,digital #,proper conversion,proper VBAT
54:03.0,83,3.98,2.91,,3.72,0.00453125,821,0.004853516,3.98
54:33.1,84,3.98,2.91,,3.72,0.00453125,821,0.004853516,3.98
55:03.2,85,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
55:33.3,86,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
56:03.4,87,3.98,2.91,,3.72,0.00453125,821,0.004853516,3.98
56:33.5,88,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
57:03.5,89,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
57:33.6,90,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
58:03.7,91,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
58:33.8,92,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
59:03.9,93,3.98,2.92,,3.72,0.00453125,821,0.004853516,3.98
59:34.0,94,4.00,2.92,,3.73,0.00453125,823,0.004853516,4.00
00:04.1,95,4.00,2.92,,3.73,0.00453125,823,0.004853516,4.00
00:34.1,96,4.00,2.91,,3.73,0.00453125,823,0.004853516,4.00
01:04.2,97,4.00,2.92,,3.73,0.00453125,823,0.004853516,4.00
01:34.3,98,4.00,2.92,,3.73,0.00453125,823,0.004853516,4.00
02:04.4,99,4.00,2.92,,3.73,0.00453125,823,0.004853516,4.00
02:34.5,100,4.01,2.93,,3.74,0.00453125,825,0.004853516,4.01
03:04.6,101,4.01,2.93,,3.74,0.00453125,825,0.004853516,4.01
03:34.7,102,4.00,2.93,,3.73,0.00453125,823,0.004853516,4.00
04:04.7,103,4.01,2.92,,3.74,0.00453125,825,0.004853516,4.01
04:34.8,104,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
05:04.9,105,4.01,2.92,,3.74,0.00453125,825,0.004853516,4.01
05:35.0,106,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
06:05.1,107,4.01,2.93,,3.74,0.00453125,825,0.004853516,4.01
06:35.2,108,4.01,2.93,,3.74,0.00453125,825,0.004853516,4.01
07:05.3,109,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
07:35.3,110,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
08:05.4,111,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
08:35.5,112,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
09:05.6,113,4.03,2.93,,3.76,0.00453125,830,0.004853516,4.03
09:35.7,114,4.02,2.92,,3.75,0.00453125,828,0.004853516,4.02
10:05.8,115,4.02,2.92,,3.75,0.00453125,828,0.004853516,4.02
10:35.9,116,4.03,2.93,,3.76,0.00453125,830,0.004853516,4.03
11:06.0,117,4.03,2.93,,3.76,0.00453125,830,0.004853516,4.03
11:36.0,118,4.02,2.93,,3.75,0.00453125,828,0.004853516,4.02
12:06.1,119,4.03,2.94,,3.76,0.00453125,830,0.004853516,4.03
12:36.2,120,4.03,2.94,,3.76,0.00453125,830,0.004853516,4.03
13:06.3,121,4.03,2.95,,3.76,0.00453125,830,0.004853516,4.03
13:36.4,122,4.03,2.95,,3.76,0.00453125,830,0.004853516,4.03
14:06.5,123,4.03,2.95,,3.76,0.00453125,830,0.004853516,4.03
14:36.6,124,4.03,2.95,,3.76,0.00453125,830,0.004853516,4.03
15:06.6,125,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
15:36.7,126,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
16:06.8,127,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
16:36.9,128,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
17:07.0,129,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
17:37.1,130,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
18:07.2,131,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
18:37.2,132,4.05,2.96,,3.78,0.00453125,834,0.004853516,4.05
19:07.3,133,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
19:37.4,134,4.04,2.95,,3.77,0.00453125,832,0.004853516,4.04
20:07.5,135,4.05,2.95,,3.78,0.00453125,834,0.004853516,4.05
20:37.6,136,4.05,2.95,,3.78,0.00453125,834,0.004853516,4.05
21:07.7,137,4.05,2.95,,3.78,0.00453125,834,0.004853516,4.05
21:37.8,138,4.05,2.95,,3.78,0.00453125,834,0.004853516,4.05
22:07.8,139,4.05,2.96,,3.78,0.00453125,834,0.004853516,4.05
22:37.9,140,4.05,2.95,,3.78,0.00453125,834,0.004853516,4.05
23:08.0,141,4.06,2.96,,3.79,0.00453125,836,0.004853516,4.06
23:38.1,142,4.06,2.95,,3.79,0.00453125,836,0.004853516,4.06
24:08.2,143,4.05,2.96,,3.78,0.00453125,834,0.004853516,4.05
24:38.3,144,4.06,2.96,,3.79,0.00453125,836,0.004853516,4.06
25:08.4,145,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
25:38.4,146,4.06,2.96,,3.79,0.00453125,836,0.004853516,4.06
26:08.5,147,4.06,2.96,,3.79,0.00453125,836,0.004853516,4.06
26:38.6,148,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
27:08.7,149,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
27:38.8,150,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
28:08.9,151,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
28:39.0,152,4.07,2.96,,3.8,0.00453125,839,0.004853516,4.07
29:09.0,153,4.08,2.97,,3.81,0.00453125,841,0.004853516,4.08
29:39.1,154,4.08,2.97,,3.81,0.00453125,841,0.004853516,4.08
30:09.2,155,4.08,2.97,,3.81,0.00453125,841,0.004853516,4.08
30:39.3,156,4.08,2.97,,3.81,0.00453125,841,0.004853516,4.08
31:09.4,157,4.09,2.97,,3.82,0.00453125,843,0.004853516,4.09
31:39.5,158,4.09,2.97,,3.82,0.00453125,843,0.004853516,4.09
32:09.6,159,4.09,2.97,,3.82,0.00453125,843,0.004853516,4.09
32:39.6,160,4.09,2.98,,3.82,0.00453125,843,0.004853516,4.09
33:09.7,161,4.09,2.98,,3.82,0.00453125,843,0.004853516,4.09
33:39.8,162,4.09,2.98,,3.82,0.00453125,843,0.004853516,4.09
34:09.9,163,4.09,2.98,,3.82,0.00453125,843,0.004853516,4.09
34:40.0,164,4.09,2.98,,3.82,0.00453125,843,0.004853516,4.09
35:10.1,165,4.10,2.98,,3.83,0.00453125,845,0.004853516,4.10
35:40.2,166,4.10,2.98,,3.83,0.00453125,845,0.004853516,4.10
36:10.2,167,4.10,2.98,,3.83,0.00453125,845,0.004853516,4.10
36:40.3,168,4.10,2.98,,3.83,0.00453125,845,0.004853516,4.10
37:10.4,169,4.10,2.97,,3.83,0.00453125,845,0.004853516,4.10
37:40.5,170,4.11,2.98,,3.84,0.00453125,847,0.004853516,4.11
38:10.6,171,4.11,2.98,,3.84,0.00453125,847,0.004853516,4.11
38:40.7,172,4.11,2.99,,3.84,0.00453125,847,0.004853516,4.11
39:10.8,173,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
39:40.9,174,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
40:10.9,175,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
40:41.0,176,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
41:11.1,177,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
41:41.2,178,4.12,3,,3.85,0.00453125,850,0.004853516,4.12
42:11.3,179,4.13,3.01,,3.86,0.00453125,852,0.004853516,4.13
42:41.4,180,4.13,3.01,,3.86,0.00453125,852,0.004853516,4.13
43:11.5,181,4.13,3.01,,3.86,0.00453125,852,0.004853516,4.13
43:41.5,182,4.13,3.01,,3.86,0.00453125,852,0.004853516,4.13
44:11.6,183,4.15,3.02,,3.87,0.00453125,854,0.004853516,4.15
44:41.7,184,4.13,3.01,,3.86,0.00453125,852,0.004853516,4.13
45:11.8,185,4.15,3.01,,3.87,0.00453125,854,0.004853516,4.15
45:41.9,186,4.15,3.02,,3.87,0.00453125,854,0.004853516,4.15
46:12.0,187,4.15,3.02,,3.87,0.00453125,854,0.004853516,4.15
46:42.1,188,4.15,3.02,,3.87,0.00453125,854,0.004853516,4.15
47:12.1,189,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
47:42.2,190,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
48:12.3,191,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
48:42.4,192,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
49:12.5,193,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
49:42.6,194,4.16,3.02,,3.88,0.00453125,856,0.004853516,4.16
50:12.7,195,4.16,3.03,,3.88,0.00453125,856,0.004853516,4.16
50:42.7,196,4.17,3.03,,3.89,0.00453125,858,0.004853516,4.17
51:12.8,197,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
51:42.9,198,4.17,3.03,,3.89,0.00453125,858,0.004853516,4.17
52:13.0,199,4.17,3.03,,3.89,0.00453125,858,0.004853516,4.17
52:43.1,200,4.17,3.03,,3.89,0.00453125,858,0.004853516,4.17
53:13.2,201,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
53:43.3,202,4.17,3.03,,3.89,0.00453125,858,0.004853516,4.17
54:13.3,203,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
54:43.4,204,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
55:13.5,205,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
55:43.6,206,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
56:13.7,207,4.18,3.03,,3.9,0.00453125,861,0.004853516,4.18
56:43.8,208,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
57:13.9,209,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
57:43.9,210,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
58:14.0,211,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
58:44.1,212,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
59:14.2,213,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
59:44.3,214,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
00:14.4,215,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
00:44.5,216,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
01:14.5,217,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
01:44.6,218,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
02:14.7,219,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
02:44.8,220,4.19,3.04,,3.91,0.00453125,863,0.004853516,4.19
03:14.9,221,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
03:45.0,222,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
04:15.1,223,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
04:45.1,224,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
05:15.2,225,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
05:45.3,226,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
06:15.4,227,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
06:45.5,228,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
07:15.6,229,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
07:45.7,230,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
08:15.8,231,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
08:45.8,232,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
09:15.9,233,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
09:46.0,234,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
10:16.1,235,4.21,3.06,,3.93,0.00453125,867,0.004853516,4.21
10:46.2,236,4.21,3.06,,3.93,0.00453125,867,0.004853516,4.21
11:16.3,237,4.21,3.06,,3.93,0.00453125,867,0.004853516,4.21
11:46.4,238,4.22,3.07,,3.94,0.00453125,870,0.004853516,4.22
12:16.4,239,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
12:46.5,240,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
13:16.6,241,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
13:46.7,242,4.22,3.07,,3.94,0.00453125,870,0.004853516,4.22
14:16.8,243,4.22,3.07,,3.94,0.00453125,870,0.004853516,4.22
14:46.9,244,4.22,3.07,,3.94,0.00453125,870,0.004853516,4.22
15:17.0,245,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
15:47.0,246,4.23,3.07,,3.95,0.00453125,872,0.004853516,4.23
16:17.1,247,4.23,3.07,,3.95,0.00453125,872,0.004853516,4.23
16:47.2,248,4.23,3.07,,3.95,0.00453125,872,0.004853516,4.23
17:17.3,249,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
17:47.4,250,4.23,3.07,,3.95,0.00453125,872,0.004853516,4.23
18:17.5,251,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
18:47.6,252,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
19:17.6,253,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
19:47.7,254,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
20:17.8,255,4.24,3.08,,3.96,0.00453125,874,0.004853516,4.24
20:47.9,256,4.26,3.09,,3.98,0.00453125,878,0.004853516,4.26
21:18.0,257,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
21:48.1,258,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
22:18.2,259,4.26,3.09,,3.98,0.00453125,878,0.004853516,4.26
22:48.2,260,4.26,3.09,,3.98,0.00453125,878,0.004853516,4.26
23:18.3,261,4.26,3.09,,3.98,0.00453125,878,0.004853516,4.26
23:48.4,262,4.27,3.09,,3.99,0.00453125,881,0.004853516,4.27
24:18.5,263,4.27,3.09,,3.99,0.00453125,881,0.004853516,4.27
24:48.6,264,4.27,3.09,,3.99,0.00453125,881,0.004853516,4.27
25:18.7,265,4.28,3.09,,4,0.00453125,883,0.004853516,4.28
25:48.8,266,4.28,3.09,,4,0.00453125,883,0.004853516,4.28
26:18.8,267,4.28,3.1,,4,0.00453125,883,0.004853516,4.28
26:48.9,268,4.27,3.09,,3.99,0.00453125,881,0.004853516,4.27
27:19.0,269,4.27,3.09,,3.99,0.00453125,881,0.004853516,4.27
27:49.1,270,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
28:19.2,271,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
28:49.3,272,4.26,3.08,,3.98,0.00453125,878,0.004853516,4.26
29:19.4,273,4.26,3.08,,3.98,0.00453125,878,0.004853516,4.26
29:49.4,274,4.25,3.08,,3.97,0.00453125,876,0.004853516,4.25
30:19.5,275,4.25,3.07,,3.97,0.00453125,876,0.004853516,4.25
30:49.6,276,4.25,3.07,,3.97,0.00453125,876,0.004853516,4.25
31:19.7,277,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
31:49.8,278,4.23,3.06,,3.95,0.00453125,872,0.004853516,4.23
32:19.9,279,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
32:50.0,280,4.24,3.07,,3.96,0.00453125,874,0.004853516,4.24
33:20.1,281,4.24,3.06,,3.96,0.00453125,874,0.004853516,4.24
33:50.1,282,4.23,3.06,,3.95,0.00453125,872,0.004853516,4.23
34:20.2,283,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
34:50.3,284,4.23,3.06,,3.95,0.00453125,872,0.004853516,4.23
35:20.4,285,4.23,3.05,,3.95,0.00453125,872,0.004853516,4.23
35:50.5,286,4.23,3.05,,3.95,0.00453125,872,0.004853516,4.23
36:20.6,287,4.23,3.05,,3.95,0.00453125,872,0.004853516,4.23
36:50.7,288,4.23,3.04,,3.95,0.00453125,872,0.004853516,4.23
37:20.7,289,4.23,3.04,,3.95,0.00453125,872,0.004853516,4.23
37:50.8,290,4.23,3.05,,3.95,0.00453125,872,0.004853516,4.23
38:20.9,291,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
38:51.0,292,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
39:21.1,293,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
39:51.2,294,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
40:21.3,295,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
40:51.3,296,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
41:21.4,297,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
41:51.5,298,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
42:21.6,299,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
42:51.7,300,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
43:21.8,301,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
43:51.9,302,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
44:21.9,303,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
44:52.0,304,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
45:22.1,305,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
45:52.2,306,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
46:22.3,307,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
46:52.4,308,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
47:22.5,309,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
47:52.5,310,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
48:22.6,311,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
48:52.7,312,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
49:22.8,313,4.22,3.06,,3.94,0.00453125,870,0.004853516,4.22
49:52.9,314,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
50:23.0,315,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
50:53.1,316,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
51:23.1,317,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
51:53.2,318,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
52:23.3,319,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
52:53.4,320,4.22,3.05,,3.94,0.00453125,870,0.004853516,4.22
53:23.5,321,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
53:53.6,322,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
54:23.7,323,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
54:53.7,324,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
55:23.8,325,4.20,3.05,,3.92,0.00453125,865,0.004853516,4.20
55:53.9,326,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
56:24.0,327,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
56:54.1,328,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
57:24.2,329,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
57:54.3,330,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
58:24.3,331,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
58:54.4,332,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
59:24.5,333,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
59:54.6,334,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
00:24.7,335,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
00:54.8,336,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
01:24.9,337,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
01:55.0,338,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
02:25.0,339,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
02:55.1,340,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
03:25.2,341,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
03:55.3,342,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
04:25.4,343,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
04:55.5,344,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
05:25.6,345,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
05:55.6,346,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
06:25.7,347,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
06:55.8,348,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
07:25.9,349,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
07:56.0,350,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
08:26.1,351,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
08:56.2,352,4.20,3.04,,3.92,0.00453125,865,0.004853516,4.20
09:26.2,353,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
09:56.3,354,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
10:26.4,355,4.21,3.04,,3.93,0.00453125,867,0.004853516,4.21
10:56.5,356,4.21,3.05,,3.93,0.00453125,867,0.004853516,4.21
