Model,MSO4104B-L
Firmware Version,2.90

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.0488
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.16
,
,
,
Label,BATT_V
TIME,CH1
-4.7300e-02,0.00783594
-4.7280e-02,-0.00799219
-4.7260e-02,-0.00910156
-4.7240e-02,0.00445313
-4.7220e-02,-0.00224219
-4.7200e-02,-0.00141406
-4.7180e-02,0.00288281
-4.7160e-02,-0.00727344
-4.7140e-02,-0.00519531
-4.7120e-02,-0.00507031
-4.7100e-02,0.00284375
-4.7080e-02,0.005
-4.7060e-02,-0.00353906
-4.7040e-02,0.00620313
-4.7020e-02,0.00459375
-4.7000e-02,0.00825781
-4.6980e-02,0.00139062
-4.6960e-02,-0.00615625
-4.6940e-02,0.004125
-4.6920e-02,0.00252344
-4.6900e-02,-0.00496875
-4.6880e-02,-0.00198438
-4.6860e-02,-0.00934375
-4.6840e-02,-0.0123984
-4.6820e-02,-0.00935937
-4.6800e-02,-0.00502344
-4.6780e-02,-0.00502344
-4.6760e-02,-0.0043125
-4.6740e-02,0.00990625
-4.6720e-02,0.0115469
-4.6700e-02,-0.007875
-4.6680e-02,0.00708594
-4.6660e-02,0.0132891
-4.6640e-02,-0.00738281
-4.6620e-02,0.00810937
-4.6600e-02,-0.0035
-4.6580e-02,-0.0111641
-4.6560e-02,-0.000390625
-4.6540e-02,0.00446875
-4.6520e-02,-0.0034375
-4.6500e-02,-0.000179687
-4.6480e-02,0.00769531
-4.6460e-02,-0.00748437
-4.6440e-02,-0.00689844
-4.6420e-02,0.0030625
-4.6400e-02,-0.00423438
-4.6380e-02,0.000695312
-4.6360e-02,0.000835937
-4.6340e-02,0.00127344
-4.6320e-02,-0.00471094
-4.6300e-02,-0.00403125
-4.6280e-02,-0.000914062
-4.6260e-02,-0.00410938
-4.6240e-02,-0.00442969
-4.6220e-02,0.00497656
-4.6200e-02,0.00171875
-4.6180e-02,-0.00567969
-4.6160e-02,0.00497656
-4.6140e-02,-0.00732031
-4.6120e-02,-0.0194922
-4.6100e-02,0.0170078
-4.6080e-02,0.0100156
-4.6060e-02,-0.0129453
-4.6040e-02,0.000726562
-4.6020e-02,0.00834375
-4.6000e-02,-0.0106719
-4.5980e-02,0.00132031
-4.5960e-02,0.00397656
-4.5940e-02,-0.002
-4.5920e-02,0.00441406
-4.5900e-02,0.00821094
-4.5880e-02,-0.00127344
-4.5860e-02,-0.00626563
-4.5840e-02,-0.000210938
-4.5820e-02,-0.0128359
-4.5800e-02,-0.0121563
-4.5780e-02,-0.00932031
-4.5760e-02,-0.0116953
-4.5740e-02,-0.015125
-4.5720e-02,0.00197656
-4.5700e-02,-0.00519531
-4.5680e-02,-0.00669531
-4.5660e-02,0.0019375
-4.5640e-02,-0.00248438
-4.5620e-02,0.00559375
-4.5600e-02,0.00702344
-4.5580e-02,0.00244531
-4.5560e-02,3.125e-05
-4.5540e-02,0.009
-4.5520e-02,-0.00325
-4.5500e-02,-0.0010625
-4.5480e-02,0.00246875
-4.5460e-02,-0.00649219
-4.5440e-02,-0.00359375
-4.5420e-02,-0.00152344
-4.5400e-02,-0.0124375
-4.5380e-02,0.00471875
-4.5360e-02,-7.8125e-05
-4.5340e-02,0.000132812
-4.5320e-02,0.00339844
-4.5300e-02,-0.00414844
-4.5280e-02,-0.00735156
-4.5260e-02,-0.00379687
-4.5240e-02,-0.000359375
-4.5220e-02,-0.00715625
-4.5200e-02,0.00234375
-4.5180e-02,0.00475781
-4.5160e-02,-0.0100469
-4.5140e-02,-0.000226563
-4.5120e-02,-0.00319531
-4.5100e-02,-0.0109062
-4.5080e-02,-0.00103125
-4.5060e-02,0.001375
-4.5040e-02,-0.009375
-4.5020e-02,-0.000703125
-4.5000e-02,-0.00957031
-4.4980e-02,-0.0151719
-4.4960e-02,-0.00544531
-4.4940e-02,0.000398437
-4.4920e-02,0.00226563
-4.4900e-02,-0.00254687
-4.4880e-02,-0.00420313
-4.4860e-02,0.00748437
-4.4840e-02,0.01375
-4.4820e-02,-0.00335938
-4.4800e-02,0.00239844
-4.4780e-02,-0.00247656
-4.4760e-02,-0.0121875
-4.4740e-02,-0.0119688
-4.4720e-02,-0.0125313
-4.4700e-02,-0.00346875
-4.4680e-02,-0.000945312
-4.4660e-02,-0.00452344
-4.4640e-02,-0.00817188
-4.4620e-02,0.00285938
-4.4600e-02,0.000625
-4.4580e-02,-0.0131797
-4.4560e-02,-0.005375
-4.4540e-02,0.00172656
-4.4520e-02,0.00551562
-4.4500e-02,-0.0029375
-4.4480e-02,-0.0139063
-4.4460e-02,-0.0065625
-4.4440e-02,0.00104687
-4.4420e-02,-0.00472656
-4.4400e-02,0.00105469
-4.4380e-02,0.00352344
-4.4360e-02,-0.0109297
-4.4340e-02,-0.00310938
-4.4320e-02,-0.000570312
-4.4300e-02,-0.0123125
-4.4280e-02,0.000351562
-4.4260e-02,0.00219531
-4.4240e-02,-0.00348438
-4.4220e-02,-0.00571094
-4.4200e-02,-0.00882813
-4.4180e-02,-0.0106953
-4.4160e-02,0.00483594
-4.4140e-02,-0.000265625
-4.4120e-02,-0.000632812
-4.4100e-02,-0.00603125
-4.4080e-02,-0.00875
-4.4060e-02,-0.00635938
-4.4040e-02,-0.00153906
-4.4020e-02,-0.00510156
-4.4000e-02,0.0025
-4.3980e-02,-0.00065625
-4.3960e-02,-0.0126484
-4.3940e-02,-0.00275
-4.3920e-02,1.5625e-05
-4.3900e-02,-0.00711719
-4.3880e-02,0.00825
-4.3860e-02,0.00260156
-4.3840e-02,-0.00485156
-4.3820e-02,-0.00224219
-4.3800e-02,-0.00545312
-4.3780e-02,-0.00473438
-4.3760e-02,-0.0161641
-4.3740e-02,0.0015
-4.3720e-02,-0.00649219
-4.3700e-02,0.00158594
-4.3680e-02,-0.0124609
-4.3660e-02,-0.0098125
-4.3640e-02,-0.00516406
-4.3620e-02,-0.0111953
-4.3600e-02,-0.0014375
-4.3580e-02,0.00378125
-4.3560e-02,-0.00392969
-4.3540e-02,-0.0029375
-4.3520e-02,-0.00544531
-4.3500e-02,-0.00672656
-4.3480e-02,0.00294531
-4.3460e-02,-0.00454688
-4.3440e-02,-0.0120547
-4.3420e-02,0.00078125
-4.3400e-02,-0.0054375
-4.3380e-02,-0.000742187
-4.3360e-02,2.34375e-05
-4.3340e-02,-0.016875
-4.3320e-02,-0.0100938
-4.3300e-02,0.00153125
-4.3280e-02,-0.00435156
-4.3260e-02,-0.0011875
-4.3240e-02,-0.00461719
-4.3220e-02,-0.0185234
-4.3200e-02,-0.00515625
-4.3180e-02,-0.006625
-4.3160e-02,-0.00792188
-4.3140e-02,-0.00874219
-4.3120e-02,-0.00582031
-4.3100e-02,-0.00882813
-4.3080e-02,0.00650781
-4.3060e-02,-0.0101406
-4.3040e-02,-0.00974219
-4.3020e-02,0.00501562
-4.3000e-02,0.00160156
-4.2980e-02,-0.00772656
-4.2960e-02,0.00530469
-4.2940e-02,0.00172656
-4.2920e-02,-0.000835937
-4.2900e-02,-0.00199219
-4.2880e-02,-0.0112812
-4.2860e-02,-0.0121641
-4.2840e-02,-0.0065
-4.2820e-02,-0.00697656
-4.2800e-02,-0.0120234
-4.2780e-02,-0.00421094
-4.2760e-02,-0.0106406
-4.2740e-02,-0.00977344
-4.2720e-02,-0.00515625
-4.2700e-02,-0.00982031
-4.2680e-02,-0.00407813
-4.2660e-02,0.00363281
-4.2640e-02,-0.00297656
-4.2620e-02,-0.00396094
-4.2600e-02,-0.0061875
-4.2580e-02,-0.014
-4.2560e-02,0.00240625
-4.2540e-02,-0.00271875
-4.2520e-02,-0.00635156
-4.2500e-02,-0.00363281
-4.2480e-02,-0.00582031
-4.2460e-02,-0.01125
-4.2440e-02,0.00107812
-4.2420e-02,-0.00189062
-4.2400e-02,-0.0106875
-4.2380e-02,-0.00741406
-4.2360e-02,-0.00208594
-4.2340e-02,-0.00717969
-4.2320e-02,-0.000382813
-4.2300e-02,-0.00867969
-4.2280e-02,-0.0138828
-4.2260e-02,-0.0133203
-4.2240e-02,-0.0100859
-4.2220e-02,-0.00492969
